sample_id,scenario_id,source_type,bathymetry_type,source_strength,bathymetry_gradient_rms,rel_l2
sample_000001,scenario_000001,okada-like,seamounts,0.8255937695503235,0.49604994743287595,0.18526903655741375
sample_000002,scenario_000002,dipole,island,0.5628488659858704,0.24079259130192762,0.3913571975811324
sample_000003,scenario_000003,multi-gauss,island,0.8340506553649902,0.237042493093081,0.2975658750739724
sample_000004,scenario_000004,dipole,seamounts,0.8123970627784729,0.6099377648842349,0.27980923002955366
sample_000005,scenario_000005,multi-gauss,canyon,0.7229635119438171,0.6315638102851487,0.15759764391593314
sample_000006,scenario_000006,dipole,trench,0.6810896396636963,0.5879066487184542,0.15897349647839124
sample_000007,scenario_000007,rough,island,0.8277176022529602,0.22961504881346959,0.3093901646363445
sample_000008,scenario_000008,dipole,canyon,0.46521419286727905,0.5564468150289721,0.3516954248322116
