case_id,solver,variant_id,target_cfl,trajectory_relative_l2,absolute_rms,per_time_scaled_l2_p95_active,field_norm_ratio,field_cosine_similarity,shape_relative_l2_after_scale,boundary_band_relative_l2,interior_relative_l2,natural_steps,max_post_step_cfl,minimum_depth
production_input_canaries_train_scenario_000002,swe_hydrostatic,production_96_radiation_sponge,0.1125,0.5668157747861932,0.013048069812269632,0.8082859785917945,0.6025768961533247,0.8644695804651423,0.3029064480913087,0.5844265228126252,0.5578165611851592,987,0.11250068747643902,0.7398302655992076
production_input_canaries_train_scenario_000008,swe_hydrostatic,production_96_radiation_sponge,0.1125,0.552819543556517,0.0032099591112600538,0.7753166384861693,0.6728390238137401,0.8524348793911053,0.3517827223503302,0.46286219487041363,0.626855866932353,987,0.11250333030204411,0.7499968534013963
production_input_canaries_train_scenario_000016,swe_hydrostatic,production_96_radiation_sponge,0.1125,0.4834091905369779,0.007480905838655633,0.9933021234895815,0.7105782716823665,0.894508800333637,0.3176642576594041,0.5150709138828713,0.47087687401981654,987,0.11250833430458462,0.7240911081950666
production_input_canaries_train_scenario_000002,swe_hydrostatic,production_96_radiation_no_sponge,0.1125,0.5674153497983884,0.01306187199803231,0.8119886596130188,0.6029083679117005,0.8637617060439144,0.3038058288057671,0.5855696176757891,0.5581319033234218,987,0.11250068747643902,0.7391537588252387
production_input_canaries_train_scenario_000008,swe_hydrostatic,production_96_radiation_no_sponge,0.1125,0.5508858272883083,0.003198730944264012,0.7708933212605776,0.678013693687461,0.8526578333781893,0.35424163174486584,0.45661473445550693,0.6279052199033053,987,0.11250333030204411,0.7499968534013964
production_input_canaries_train_scenario_000016,swe_hydrostatic,production_96_radiation_no_sponge,0.1125,0.4815113802732134,0.0074515366413776705,0.9093547500908834,0.714399328520658,0.8948169043675022,0.31893166279861757,0.5123659675669623,0.4693105519949755,987,0.11250833430458462,0.7242259353775061
production_input_canaries_train_scenario_000002,swe_hydrostatic,production_96_open_no_sponge,0.1125,0.5674225858375138,0.013062038571278634,0.8120590042215743,0.6028975111934041,0.863759593254119,0.3038025415680464,0.5855920567304556,0.5581311797076662,987,0.11250068747643902,0.7391580400581924
production_input_canaries_train_scenario_000008,swe_hydrostatic,production_96_open_no_sponge,0.1125,0.5508302313784487,0.0031984081253631906,0.7700400564718802,0.6780264252909707,0.8526997226518094,0.3542019280245727,0.4565029028738589,0.6278875509913678,987,0.11250333030204411,0.7499968534013964
production_input_canaries_train_scenario_000016,swe_hydrostatic,production_96_open_no_sponge,0.1125,0.4830091892203393,0.007474715695307732,0.934721702738133,0.7189478843227095,0.892685138582769,0.324016055414499,0.516049752935874,0.4699046762549224,987,0.11250833430458462,0.7242263338486415
production_input_canaries_train_scenario_000002,swe_hydrostatic,extended_192_open_no_sponge,0.1125,0.5674161699275052,0.013061890877362153,0.8119985626436453,0.6029067989685662,0.8637616130131135,0.3038051343593795,0.5855722278209469,0.558131786279497,987,0.11250068747643902,0.7391538129127508
production_input_canaries_train_scenario_000008,swe_hydrostatic,extended_192_open_no_sponge,0.1125,0.5508645140996202,0.003198607188754611,0.770604966950431,0.6780087984042472,0.8526764110883809,0.3542185171661622,0.45657663083188,0.627895133378352,987,0.11250333030204411,0.7499968534013964
production_input_canaries_train_scenario_000016,swe_hydrostatic,extended_192_open_no_sponge,0.1125,0.4807671631900938,0.007440019653220803,0.8994439732473956,0.7155153709720009,0.8950368034409896,0.31911433702248176,0.5116791167854601,0.46854179769076365,987,0.11250833430458462,0.7242259801638327
production_input_canaries_train_scenario_000002,swe_hydrostatic,refined_192_open_no_sponge,0.1125,0.39386257870070807,0.009066696185839052,0.6482553748118886,0.7277394314644886,0.9443468979285033,0.23939080837111834,0.3993224827635754,0.3911084992288596,1973,0.11250066258114683,0.7246340361510434
production_input_canaries_train_scenario_000008,swe_hydrostatic,refined_192_open_no_sponge,0.1125,0.411863296137415,0.0023914934908496645,0.6429421874324525,0.7599217683046487,0.9263122718401241,0.2863055814223209,0.3330179582334049,0.47515456171569304,1973,0.11250405566747451,0.749810390882423
production_input_canaries_train_scenario_000016,swe_hydrostatic,refined_192_open_no_sponge,0.1125,0.36033103203345274,0.005576233497740395,0.8624300470766736,0.8017252161022544,0.9435432733694564,0.2655709075848693,0.3824340180420213,0.3516074283853698,1974,0.11250652252881183,0.7020447401354575
production_input_canaries_train_scenario_000002,swe_muscl_hr,production_96_radiation_sponge,0.225,0.2306263522987877,0.005309006698832221,0.41116736148709876,0.8557924256826983,0.9810744469616434,0.16570786662338444,0.22636971266747866,0.23272211544597032,494,0.2250049056904403,0.7101954391780345
production_input_canaries_train_scenario_000008,swe_muscl_hr,production_96_radiation_sponge,0.225,0.2587933654853406,0.001502689496339042,0.3965465876750088,0.8524231166291741,0.9734902370477102,0.19497351982800631,0.21479579936926413,0.29477432617066074,494,0.22501184335994937,0.7497003643008195
production_input_canaries_train_scenario_000016,swe_muscl_hr,production_96_radiation_sponge,0.225,0.22510911898398078,0.0034836328218568863,0.8377642145955175,0.894621003228242,0.9778848348371372,0.18710469436093133,0.23015016607912303,0.22317240853758613,494,0.22510203489096367,0.6775079285431596
production_input_canaries_train_scenario_000002,swe_muscl_hr,production_96_radiation_no_sponge,0.225,0.2311446956485683,0.005320938935928502,0.4135504583837255,0.855021651635708,0.9810477613227517,0.16567418546794302,0.228075050335331,0.2326618942091925,494,0.2250049056904403,0.7094686451659438
production_input_canaries_train_scenario_000008,swe_muscl_hr,production_96_radiation_no_sponge,0.225,0.2562185367010427,0.0014877386951012304,0.3885935002467006,0.8564033401606937,0.9737110215942362,0.19507741428393074,0.20818095132891465,0.2949114924168599,494,0.22501184335994937,0.7496998297556292
production_input_canaries_train_scenario_000016,swe_muscl_hr,production_96_radiation_no_sponge,0.225,0.21770732055141323,0.0033690877155686957,0.6776806111442408,0.8965424241157416,0.9795363797479981,0.1804445721450848,0.2186547168144981,0.2173478442449452,494,0.22510203489096367,0.6775321780784482
production_input_canaries_train_scenario_000002,swe_muscl_hr,production_96_open_no_sponge,0.225,0.23114481021977612,0.005320941573351779,0.41355537192688485,0.8550215610350766,0.9810477437039158,0.1656742441848693,0.2280761904511704,0.23266150693186344,494,0.2250049056904403,0.70946862011525
production_input_canaries_train_scenario_000008,swe_muscl_hr,production_96_open_no_sponge,0.225,0.25619321073844864,0.0014875916393299062,0.3884092775130792,0.8563865677766096,0.9737208960257567,0.19503744229531944,0.2081565057073511,0.2948849518178333,494,0.22501184335994937,0.7496998297556292
production_input_canaries_train_scenario_000016,swe_muscl_hr,production_96_open_no_sponge,0.225,0.21869714157304945,0.00338440550018044,0.6874738188864695,0.8991675090445791,0.9790577127614614,0.1830551244613564,0.2218111240108307,0.21750750061243518,494,0.22510203489096367,0.6775321758235859
production_input_canaries_train_scenario_000002,swe_muscl_hr,extended_192_open_no_sponge,0.225,0.2311445424491631,0.005320935409286119,0.41355076773767613,0.8550216705420315,0.9810477999516322,0.16567402190609343,0.22807487582119096,0.23266175143025758,494,0.2250049056904403,0.7094686138712705
production_input_canaries_train_scenario_000008,swe_muscl_hr,extended_192_open_no_sponge,0.225,0.25620105037707286,0.0014876371603678733,0.3884255596996199,0.8564016669657304,0.9737164821715041,0.19505704185472425,0.2081546853648111,0.2948995016042224,494,0.22501184335994937,0.7496998297556292
production_input_canaries_train_scenario_000016,swe_muscl_hr,extended_192_open_no_sponge,0.225,0.21433336309374013,0.0033168746866512155,0.5970145167790146,0.8970147122641648,0.9803053280163833,0.1771495363878987,0.21317649282431342,0.2147693821495593,494,0.22510203489096367,0.6775321774639513
production_input_canaries_train_scenario_000002,swe_muscl_hr,refined_192_open_no_sponge,0.225,0.08079251788888155,0.0018598395821302187,0.21319058284764666,0.9845874158668556,0.9968058279560553,0.07863236728944087,0.06925968157230228,0.085972683533371,987,0.22500283472875435,0.6984439872954551
production_input_canaries_train_scenario_000008,swe_muscl_hr,refined_192_open_no_sponge,0.225,0.17226874573533704,0.001000282346027359,0.32115673219635665,0.9491940350457856,0.9857272203143418,0.15979716714897182,0.12515987790581753,0.20753350874089832,987,0.22501266681064483,0.7489627283541082
production_input_canaries_train_scenario_000016,swe_muscl_hr,refined_192_open_no_sponge,0.225,0.14996996313621583,0.0023208312849874674,0.5708136465823269,0.9492474644173802,0.9895100220324327,0.13713231239732834,0.1421842913156455,0.1528118999835289,988,0.2250580905961356,0.6310728793579665
