model,model_method,solver,model_time_per_sample_s,solver_rollout_time_per_sample_s,speedup_vs_solver_rollout,model_samples_per_second,solver_samples_per_second,model_device,model_precision,solver_precision
fno,fno2d,swe_hydrostatic,0.0009055169726565282,33.297878585291606,36772.23021850727,1104.341531077309,0.030031757697678282,cuda,fp32,float64
cnn,cnn,swe_hydrostatic,0.000172781691406243,33.297878585291606,192716.47542216664,5787.650253109327,0.030031757697678282,cuda,fp32,float64
unet,unet,swe_hydrostatic,0.0002409289726564623,33.297878585291606,138206.2033393163,4150.600855405995,0.030031757697678282,cuda,fp32,float64
fno_muscl_hr,fno2d,swe_muscl_hr,0.0009055140726566436,72.31076227074998,79856.03366560716,1104.3450678421252,0.013829168470580747,cuda,fp32,float64
fno_boussinesq,fno2d,boussinesq,0.0009060868445317283,16.38122957087482,18079.09437129147,1103.6469694213547,0.06104465991771496,cuda,fp32,float64
