solver_a,solver_b,split,scenario_id,scenario_key,timestamp_a,timestamp_b,signed_gap_a_minus_b,abs_gap
Hydrostatic,MUSCL-HR,train,scenario_000042,train:scenario_000042,0.17738541960716248,0.17736974358558655,1.5676021575927734e-05,1.5676021575927734e-05
Hydrostatic,MUSCL-HR,train,scenario_000043,train:scenario_000043,0.17661266028881073,0.17643405497074127,0.000178605318069458,0.000178605318069458
Hydrostatic,MUSCL-HR,train,scenario_000044,train:scenario_000044,0.17742756009101868,0.17740996181964874,1.7598271369934082e-05,1.7598271369934082e-05
Hydrostatic,MUSCL-HR,train,scenario_000045,train:scenario_000045,0.17746984958648682,0.17747017741203308,-3.2782554626464844e-07,3.2782554626464844e-07
Hydrostatic,MUSCL-HR,train,scenario_000046,train:scenario_000046,0.17741578817367554,0.17739127576351166,2.4512410163879395e-05,2.4512410163879395e-05
Hydrostatic,MUSCL-HR,train,scenario_000047,train:scenario_000047,0.177469402551651,0.17746838927268982,1.0132789611816406e-06,1.0132789611816406e-06
Hydrostatic,MUSCL-HR,train,scenario_000048,train:scenario_000048,0.17741139233112335,0.17740000784397125,1.138448715209961e-05,1.138448715209961e-05
Hydrostatic,MUSCL-HR,train,scenario_000049,train:scenario_000049,0.1774720847606659,0.17747211456298828,-2.9802322387695312e-08,2.9802322387695312e-08
Hydrostatic,MUSCL-HR,train,scenario_000050,train:scenario_000050,0.17746661603450775,0.17746601998806,5.960464477539062e-07,5.960464477539062e-07
Hydrostatic,MUSCL-HR,train,scenario_000051,train:scenario_000051,0.1771421879529953,0.17710423469543457,3.795325756072998e-05,3.795325756072998e-05
Hydrostatic,MUSCL-HR,train,scenario_000052,train:scenario_000052,0.17728541791439056,0.1772775650024414,7.852911949157715e-06,7.852911949157715e-06
Hydrostatic,MUSCL-HR,train,scenario_000053,train:scenario_000053,0.17747479677200317,0.17747488617897034,-8.940696716308594e-08,8.940696716308594e-08
Hydrostatic,MUSCL-HR,train,scenario_000054,train:scenario_000054,0.1774744987487793,0.17747433483600616,1.6391277313232422e-07,1.6391277313232422e-07
Hydrostatic,MUSCL-HR,train,scenario_000055,train:scenario_000055,0.17747259140014648,0.1774718463420868,7.450580596923828e-07,7.450580596923828e-07
Hydrostatic,MUSCL-HR,train,scenario_000056,train:scenario_000056,0.1774410754442215,0.17741872370243073,2.2351741790771484e-05,2.2351741790771484e-05
Hydrostatic,MUSCL-HR,train,scenario_000057,train:scenario_000057,0.17745907604694366,0.17744934558868408,9.73045825958252e-06,9.73045825958252e-06
Hydrostatic,MUSCL-HR,train,scenario_000058,train:scenario_000058,0.17747150361537933,0.17747022211551666,1.2814998626708984e-06,1.2814998626708984e-06
Hydrostatic,MUSCL-HR,train,scenario_000059,train:scenario_000059,0.17745213210582733,0.17745186388492584,2.682209014892578e-07,2.682209014892578e-07
Hydrostatic,MUSCL-HR,train,scenario_000060,train:scenario_000060,0.17721441388130188,0.1772065907716751,7.82310962677002e-06,7.82310962677002e-06
Hydrostatic,MUSCL-HR,train,scenario_000061,train:scenario_000061,0.17747458815574646,0.1774744987487793,8.940696716308594e-08,8.940696716308594e-08
Hydrostatic,MUSCL-HR,train,scenario_000062,train:scenario_000062,0.17747239768505096,0.1774722933769226,1.043081283569336e-07,1.043081283569336e-07
Hydrostatic,MUSCL-HR,train,scenario_000063,train:scenario_000063,0.17722687125205994,0.1772141009569168,1.2770295143127441e-05,1.2770295143127441e-05
Hydrostatic,MUSCL-HR,train,scenario_000064,train:scenario_000064,0.1772417277097702,0.1771860122680664,5.571544170379639e-05,5.571544170379639e-05
Hydrostatic,MUSCL-HR,train,scenario_000065,train:scenario_000065,0.17744611203670502,0.1774429827928543,3.129243850708008e-06,3.129243850708008e-06
Hydrostatic,MUSCL-HR,train,scenario_000066,train:scenario_000066,0.17747069895267487,0.17747081816196442,-1.1920928955078125e-07,1.1920928955078125e-07
Hydrostatic,MUSCL-HR,train,scenario_000067,train:scenario_000067,0.17727626860141754,0.17727117240428925,5.0961971282958984e-06,5.0961971282958984e-06
Hydrostatic,MUSCL-HR,train,scenario_000068,train:scenario_000068,0.17747487127780914,0.17747484147548676,2.9802322387695312e-08,2.9802322387695312e-08
Hydrostatic,MUSCL-HR,train,scenario_000069,train:scenario_000069,0.17733830213546753,0.17731009423732758,2.8207898139953613e-05,2.8207898139953613e-05
Hydrostatic,MUSCL-HR,train,scenario_000070,train:scenario_000070,0.1774379312992096,0.17742645740509033,1.1473894119262695e-05,1.1473894119262695e-05
Hydrostatic,MUSCL-HR,train,scenario_000071,train:scenario_000071,0.17747023701667786,0.17747096717357635,-7.301568984985352e-07,7.301568984985352e-07
Hydrostatic,MUSCL-HR,train,scenario_000072,train:scenario_000072,0.177450492978096,0.17744296789169312,7.525086402893066e-06,7.525086402893066e-06
Hydrostatic,MUSCL-HR,train,scenario_000073,train:scenario_000073,0.1773676723241806,0.1773567944765091,1.0877847671508789e-05,1.0877847671508789e-05
Hydrostatic,MUSCL-HR,train,scenario_000074,train:scenario_000074,0.17747293412685394,0.1774730384349823,-1.043081283569336e-07,1.043081283569336e-07
Hydrostatic,MUSCL-HR,train,scenario_000075,train:scenario_000075,0.17627036571502686,0.17608675360679626,0.00018361210823059082,0.00018361210823059082
Hydrostatic,MUSCL-HR,train,scenario_000076,train:scenario_000076,0.17739643156528473,0.17738047242164612,1.595914363861084e-05,1.595914363861084e-05
Hydrostatic,MUSCL-HR,train,scenario_000077,train:scenario_000077,0.17747445404529572,0.1774744689464569,-1.4901161193847656e-08,1.4901161193847656e-08
Hydrostatic,MUSCL-HR,train,scenario_000078,train:scenario_000078,0.1770186424255371,0.17690931260585785,0.00010932981967926025,0.00010932981967926025
Hydrostatic,MUSCL-HR,train,scenario_000079,train:scenario_000079,0.17745906114578247,0.17744968831539154,9.372830390930176e-06,9.372830390930176e-06
Hydrostatic,MUSCL-HR,train,scenario_000080,train:scenario_000080,0.17745397984981537,0.17744311690330505,1.0862946510314941e-05,1.0862946510314941e-05
Hydrostatic,MUSCL-HR,train,scenario_000081,train:scenario_000081,0.17747479677200317,0.17747481167316437,-1.4901161193847656e-08,1.4901161193847656e-08
Hydrostatic,MUSCL-HR,train,scenario_000082,train:scenario_000082,0.17747358977794647,0.17747366428375244,-7.450580596923828e-08,7.450580596923828e-08
Hydrostatic,MUSCL-HR,train,scenario_000083,train:scenario_000083,0.17746961116790771,0.17746971547603607,-1.043081283569336e-07,1.043081283569336e-07
Hydrostatic,MUSCL-HR,train,scenario_000084,train:scenario_000084,0.1773858368396759,0.17736278474330902,2.3052096366882324e-05,2.3052096366882324e-05
Hydrostatic,MUSCL-HR,train,scenario_000085,train:scenario_000085,0.17738622426986694,0.17736080288887024,2.54213809967041e-05,2.54213809967041e-05
Hydrostatic,MUSCL-HR,train,scenario_000086,train:scenario_000086,0.17747245728969574,0.17747212946414948,3.2782554626464844e-07,3.2782554626464844e-07
Hydrostatic,MUSCL-HR,train,scenario_000087,train:scenario_000087,0.17735213041305542,0.1773226112127304,2.9519200325012207e-05,2.9519200325012207e-05
Hydrostatic,MUSCL-HR,train,scenario_000088,train:scenario_000088,0.1774616539478302,0.17745840549468994,3.248453140258789e-06,3.248453140258789e-06
Hydrostatic,MUSCL-HR,train,scenario_000089,train:scenario_000089,0.17746251821517944,0.17745305597782135,9.462237358093262e-06,9.462237358093262e-06
Hydrostatic,MUSCL-HR,train,scenario_000090,train:scenario_000090,0.17740926146507263,0.17739635705947876,1.290440559387207e-05,1.290440559387207e-05
Hydrostatic,MUSCL-HR,train,scenario_000091,train:scenario_000091,0.17746908962726593,0.177469402551651,-3.129243850708008e-07,3.129243850708008e-07
Hydrostatic,MUSCL-HR,train,scenario_000092,train:scenario_000092,0.17744727432727814,0.17744141817092896,5.856156349182129e-06,5.856156349182129e-06
Hydrostatic,MUSCL-HR,train,scenario_000093,train:scenario_000093,0.17744871973991394,0.17744210362434387,6.616115570068359e-06,6.616115570068359e-06
Hydrostatic,MUSCL-HR,train,scenario_000094,train:scenario_000094,0.1774560958147049,0.17744766175746918,8.434057235717773e-06,8.434057235717773e-06
Hydrostatic,MUSCL-HR,train,scenario_000095,train:scenario_000095,0.17743179202079773,0.17742693424224854,4.857778549194336e-06,4.857778549194336e-06
Hydrostatic,MUSCL-HR,train,scenario_000096,train:scenario_000096,0.17747317254543304,0.17747294902801514,2.2351741790771484e-07,2.2351741790771484e-07
Hydrostatic,MUSCL-HR,train,scenario_000097,train:scenario_000097,0.17740601301193237,0.17740198969841003,4.023313522338867e-06,4.023313522338867e-06
Hydrostatic,MUSCL-HR,train,scenario_000098,train:scenario_000098,0.177456796169281,0.1774512678384781,5.5283308029174805e-06,5.5283308029174805e-06
Hydrostatic,MUSCL-HR,train,scenario_000099,train:scenario_000099,0.17731061577796936,0.17726069688796997,4.991888999938965e-05,4.991888999938965e-05
Hydrostatic,MUSCL-HR,train,scenario_000100,train:scenario_000100,0.17740266025066376,0.17738273739814758,1.9922852516174316e-05,1.9922852516174316e-05
Hydrostatic,MUSCL-HR,train,scenario_000101,train:scenario_000101,0.1774691492319107,0.17746934294700623,-1.9371509552001953e-07,1.9371509552001953e-07
