dt_max,dt_min,end_time,final_time_target,grid,max_abs_eta,max_cfl_seen,max_speed_seen,min_h_seen,n_steps,ok,scenario_id,solver,solver_name,target_cfl
0.002566134733262042,0.0008677305334759185,0.006,0.006,32,0.023378317431153706,0.30000000000000404,0.03397112631834246,1.1903791420381173,3,True,conv_0000,Hydrostatic,swe_hydrostatic,0.3
0.00128252257552536,0.0008699096978985708,0.006,0.006,64,0.026863791603279452,0.3000000000000025,0.04070979054922447,1.188235637450982,5,True,conv_0000,Hydrostatic,swe_hydrostatic,0.3
0.0006412334843807121,0.0002288986405736002,0.006,0.006,128,0.02856058996319999,0.3000000000000007,0.0447652702531949,1.1879413561944052,10,True,conv_0000,Hydrostatic,swe_hydrostatic,0.3
0.0038492020998930634,0.0021507979001069368,0.006,0.006,32,0.02339109933479433,0.4500000000000008,0.03605080986574987,1.1903791420381173,2,True,conv_0000,Hydrostatic,swe_hydrostatic,0.45
0.00192378386328804,0.0002286484101358885,0.006,0.006,64,0.02711268164742009,0.450000000000004,0.04226343467991865,1.188235637450982,4,True,conv_0000,Hydrostatic,swe_hydrostatic,0.45
0.0009618502265710683,0.0002288986405735976,0.006,0.006,128,0.028769997945345516,0.45000000000000107,0.04546863949222872,1.1879413561944052,7,True,conv_0000,Hydrostatic,swe_hydrostatic,0.45
0.002593220539250656,0.0008135589214986879,0.006,0.006,32,0.027660098122601617,0.3,0.02469977429587443,1.2064110895005673,3,True,conv_0001,Hydrostatic,swe_hydrostatic,0.3
0.0012962708662515633,0.000814916534993747,0.006,0.006,64,0.03159765820350491,0.3,0.03184867283182095,1.2057145041767159,5,True,conv_0001,Hydrostatic,swe_hydrostatic,0.3
0.0006481140102714776,0.00016697390755670335,0.006,0.006,128,0.033258569367718094,0.3,0.03576369525208991,1.2053663101248369,10,True,conv_0001,Hydrostatic,swe_hydrostatic,0.3
0.0038898308088759844,0.0021101691911240158,0.006,0.006,32,0.02759880662557146,0.45,0.02653073941590845,1.2064110895005673,2,True,conv_0001,Hydrostatic,swe_hydrostatic,0.45
0.001944406299377345,0.00016678110186796498,0.006,0.006,64,0.03183339655601336,0.45000000000000007,0.033480196503980104,1.2057145041767159,4,True,conv_0001,Hydrostatic,swe_hydrostatic,0.45
0.0009721710154072164,0.00016697390755670248,0.006,0.006,128,0.033478854850095274,0.45000000000000007,0.036599290702445185,1.2053663101248369,7,True,conv_0001,Hydrostatic,swe_hydrostatic,0.45
0.0025401712497382313,0.0009210511146490984,0.006,0.006,32,0.02467820470770632,0.3001646793448167,0.016610353611229194,1.1919857421627176,3,True,conv_0002,Hydrostatic,swe_hydrostatic,0.3
0.0012684658692410573,0.0009282476627705954,0.006,0.006,64,0.026333035832398766,0.30008549573189164,0.02002501101376554,1.1916605599352943,5,True,conv_0002,Hydrostatic,swe_hydrostatic,0.3
0.0006340372658350346,0.00029735713796435765,0.006,0.006,128,0.027042824746215333,0.3000510296634771,0.02179788624086682,1.1916431298869423,10,True,conv_0002,Hydrostatic,swe_hydrostatic,0.3
0.003810256874607347,0.002189743125392653,0.006,0.006,32,0.024879626424516355,0.4503705669791247,0.017692623630308033,1.192015577004339,2,True,conv_0002,Hydrostatic,swe_hydrostatic,0.45
0.001902698803861586,0.00029429345137488815,0.006,0.006,64,0.02653017617346487,0.4501923704341721,0.02075874397279385,1.1916872195644388,4,True,conv_0002,Hydrostatic,swe_hydrostatic,0.45
0.000951055898752552,0.0002971499880140343,0.006,0.006,128,0.0271551002944459,0.45011481749657417,0.02215847601508496,1.1916577245360551,7,True,conv_0002,Hydrostatic,swe_hydrostatic,0.45
0.002566134733262042,0.000867730533475922,0.006,0.006,32,0.02507170750171306,0.3000000000000062,0.042903574186544585,1.1903791420381173,3,True,conv_0000,MUSCL-HR,swe_muscl_hr,0.3
0.00128252257552536,0.0008699096978985691,0.006,0.006,64,0.02844110773351316,0.30000000000000165,0.046619403968438,1.188235637450982,5,True,conv_0000,MUSCL-HR,swe_muscl_hr,0.3
0.0006412334843807121,0.00022889864057359672,0.006,0.006,128,0.030041704428011018,0.3000000000000003,0.04789337502659787,1.1879413561944052,10,True,conv_0000,MUSCL-HR,swe_muscl_hr,0.3
0.0038492020998930634,0.0021507979001069368,0.006,0.006,32,0.024758734744929622,0.4500000000000024,0.043091672075639326,1.1903791420381173,2,True,conv_0000,MUSCL-HR,swe_muscl_hr,0.45
0.00192378386328804,0.0002286484101358885,0.006,0.006,64,0.028283021930183505,0.4500000000000039,0.046784984045406125,1.188235637450982,4,True,conv_0000,MUSCL-HR,swe_muscl_hr,0.45
0.0009618502265710683,0.00022889864057359585,0.006,0.006,128,0.030004140273428126,0.4500000000000008,0.04795454855369314,1.1879413561944052,7,True,conv_0000,MUSCL-HR,swe_muscl_hr,0.45
0.002593220539250656,0.0008135589214986879,0.006,0.006,32,0.029001088029359412,0.3,0.02974005780389274,1.2064110895005673,3,True,conv_0001,MUSCL-HR,swe_muscl_hr,0.3
0.0012962708662515633,0.000814916534993747,0.006,0.006,64,0.032976767403600116,0.3,0.03732576262772733,1.2057145041767159,5,True,conv_0001,MUSCL-HR,swe_muscl_hr,0.3
