coarse_grid,comparison,fine_grid,mae,max_abs,rel_l2,rmse,scenario_id,solver,solver_name,target_cfl
32,32_vs_restricted_64,64,5.003208334022506e-05,0.002362948266604714,0.07002248823193158,0.00021419976481897526,conv_0000,Hydrostatic,swe_hydrostatic,0.3
64,64_vs_restricted_128,128,2.7049881163549615e-05,0.0015240338318874835,0.03778669343811751,0.00012106499203008784,conv_0000,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_128,128,7.630598562334486e-05,0.0037374896552212072,0.10495387836514401,0.000330906372260928,conv_0000,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_64,64,4.9774535682647696e-05,0.0026121810196987894,0.07148242225344931,0.00022078134191293495,conv_0000,Hydrostatic,swe_hydrostatic,0.45
64,64_vs_restricted_128,128,2.3167989670632518e-05,0.0014857857920910766,0.033492769503878604,0.00010788155646840826,conv_0000,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_128,128,7.23594353827782e-05,0.003925827743668009,0.10238136086341536,0.00032449516730651137,conv_0000,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_64,64,3.408100790975704e-05,0.002501397452963794,0.06775655880421029,0.00018023305663742448,conv_0001,Hydrostatic,swe_hydrostatic,0.3
64,64_vs_restricted_128,128,1.898779785368526e-05,0.0015895035890635123,0.038102960253144205,0.00010570779516361306,conv_0001,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_128,128,5.256428888529769e-05,0.003977549899321586,0.10294609699285238,0.00028144779027399305,conv_0001,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_64,64,3.457226335684064e-05,0.0028221923576263186,0.07112723686027138,0.00019092213412346697,conv_0001,Hydrostatic,swe_hydrostatic,0.45
64,64_vs_restricted_128,128,1.6103184236626028e-05,0.0015740753009096942,0.03420850449920985,9.53903603895499e-05,conv_0001,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_128,128,5.025866425830692e-05,0.004255535946889544,0.10257710368272009,0.00028184500859256885,conv_0001,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_64,64,5.490018893754099e-05,0.0015787594222702594,0.04086323884752446,0.00016545032664051217,conv_0002,Hydrostatic,swe_hydrostatic,0.3
64,64_vs_restricted_128,128,2.8904175296974344e-05,0.0009976973581620752,0.021893049691639407,9.06888918956671e-05,conv_0002,Hydrostatic,swe_hydrostatic,0.3
