cfl_a,cfl_b,grid,mae_count,mae_max,mae_mean,mae_median,mae_min,max_abs_count,max_abs_max,max_abs_mean,max_abs_median,max_abs_min,num_rows,rel_l2_count,rel_l2_max,rel_l2_mean,rel_l2_median,rel_l2_min,rmse_count,rmse_max,rmse_mean,rmse_median,rmse_min,solver
0.3,0.45,128,3,5.269557700690255e-06,4.603950829016995e-06,4.886822768729239e-06,3.655472017631488e-06,3,0.0002203295933078664,0.00019753873799288613,0.00021184410081476202,0.00016044251985602997,3,3,0.006719019946060387,0.005657512612897632,0.006403014057330002,0.003850503835302505,3,2.0708322791447467e-05,1.851342078581268e-05,1.88060370743401e-05,1.6025902491650483e-05,Hydrostatic
0.3,0.45,32,3,1.2911927409199999e-05,1.0682555291076354e-05,1.0920218693681203e-05,8.215519770347858e-06,3,0.00028483805349188707,0.0002544230377075814,0.000277009342820822,0.00020142171681003518,3,3,0.013098517120357414,0.011291509980477668,0.012769514369484548,0.00800649845159104,3,3.723768717115882e-05,3.411021226578778e-05,3.34055837994054e-05,3.1687365826799134e-05,Hydrostatic
0.3,0.45,64,3,9.878708743648408e-06,8.659948531318412e-06,9.154789147313889e-06,6.9463477029929415e-06,3,0.0003006089656767408,0.0002708926601752519,0.0002826055199842692,0.0002294634948647456,3,3,0.011854109571686271,0.010036357433034191,0.01140331845689178,0.006851644270524519,3,3.5775667531301484e-05,3.204758282141274e-05,3.227106247774387e-05,2.8096018455192873e-05,Hydrostatic
0.3,0.45,128,3,4.2693772131970076e-07,3.700388000298827e-07,4.1434305109825666e-07,2.688356276716908e-07,3,5.258341318525872e-05,3.59286677543332e-05,3.8425063856095676e-05,1.677752622164519e-05,3,3,0.0010161153549467265,0.0006673772780039702,0.0007059528630278819,0.000280063616037302,3,2.8986867419076775e-06,2.136851971466894e-06,2.333185237226711e-06,1.1786839352662935e-06,MUSCL-HR
0.3,0.45,32,3,4.2967426745232126e-06,3.893923511729079e-06,3.728453351645438e-06,3.656574509018585e-06,3,0.0005269718523590594,0.00033661722867739385,0.00031297275678343617,0.00016990707688968598,3,3,0.009604835900599443,0.006781611968236197,0.007245648819650055,0.003494351184459093,3,2.5318099998126798e-05,2.0539611931539946e-05,2.2104863538388874e-05,1.4195872258104172e-05,MUSCL-HR
0.3,0.45,64,3,1.6996075598864867e-06,1.5021669921976082e-06,1.6893967709725533e-06,1.117496645733785e-06,3,0.00022209187308019906,0.00015037406909682952,0.00015808580332965505,7.094453088063446e-05,3,3,0.0042155275855294775,0.0027729943816118797,0.0029191670075110615,0.0011842885517950993,3,1.178999051950594e-05,8.736388098517096e-06,9.473067769893857e-06,4.946106006151491e-06,MUSCL-HR
