cfl_a,cfl_b,grid,mae_count,mae_max,mae_mean,mae_median,mae_min,max_abs_count,max_abs_max,max_abs_mean,max_abs_median,max_abs_min,num_rows,rel_l2_count,rel_l2_max,rel_l2_mean,rel_l2_median,rel_l2_min,rmse_count,rmse_max,rmse_mean,rmse_median,rmse_min,solver
0.3,0.45,128,12,8.688917338029359e-06,5.2445334075026515e-06,4.712485186447576e-06,2.212330776727879e-06,12,0.0002575952996077824,0.0001896789331895151,0.00021065487465987687,8.927612177389577e-05,12,12,0.006719019946060387,0.004827091041941916,0.004854933065615557,0.0032584144241190062,12,2.6932125807711897e-05,1.89544094057626e-05,1.89135081981787e-05,8.257463358966035e-06,Hydrostatic
0.3,0.45,32,12,2.222197939359314e-05,1.2336076670398346e-05,1.0516767891298744e-05,5.7729466144081955e-06,12,0.00034246072549626305,0.0002580026950184666,0.00026671881050233104,0.00016043082678018905,12,12,0.013098517120357414,0.009788336264372437,0.009406827699721194,0.007096362923302981,12,5.277588032986585e-05,3.627001455849198e-05,3.370949023656494e-05,1.8789039171094265e-05,Hydrostatic
0.3,0.45,64,12,1.6129891844804693e-05,9.715148504105015e-06,8.858922618611354e-06,4.112818499067098e-06,12,0.0003894886944240117,0.000282901179746146,0.00028694203208334823,0.00015219069597494084,12,12,0.011854109571686271,0.008559052428919535,0.008488401717163797,0.00549007500833066,12,4.7920848316948455e-05,3.2879356514992524e-05,3.30975758424611e-05,1.4805891780442636e-05,Hydrostatic
0.3,0.45,128,12,6.779093005177016e-07,3.573317627843139e-07,3.403362142854842e-07,7.433484241524207e-08,12,5.258341318525872e-05,2.9497283189183765e-05,2.8169135613986818e-05,5.098947924775388e-06,12,12,0.0010161153549467265,0.00048250681202748226,0.0003569443344962619,0.0001310388481847061,12,2.9575123414516984e-06,1.8227860294455721e-06,1.8592420961365423e-06,3.3519858839504865e-07,MUSCL-HR
0.3,0.45,32,12,7.947283756494549e-06,4.0394193360525055e-06,3.6925139303320116e-06,9.877668193905738e-07,12,0.0005269718523590594,0.0002795813535699428,0.00029959593142059315,3.910217742220112e-05,12,12,0.009604835900599443,0.005079758116573611,0.003781914647131147,0.0016907296193012233,12,2.9568767006567226e-05,1.8476776647656916e-05,1.836915538508494e-05,4.211518558968029e-06,MUSCL-HR
0.3,0.45,64,12,2.8243448694759794e-06,1.4813169491249038e-06,1.4987314850924735e-06,3.0879694303621906e-07,12,0.00022209187308019906,0.00011488028529832439,0.00010688148033011213,2.0974175705568143e-05,12,12,0.0042155275855294775,0.002024838384195715,0.0015403219570636053,0.0005717750768473884,12,1.2050912258124832e-05,7.538912002041465e-06,7.631892625070429e-06,1.4547051945506345e-06,MUSCL-HR
