coarse_grid,comparison,fine_grid,mae,max_abs,rel_l2,rmse,scenario_id,solver,solver_name,target_cfl
64,64_vs_restricted_128,128,4.947553728047075e-05,0.001578324324575886,0.030157450744105873,0.00016095013512113844,conv_0006,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_128,128,0.00013964808918233673,0.004052771536590866,0.08283863371817453,0.0004372712124672342,conv_0006,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_64,64,8.993327160167723e-05,0.002711511228024266,0.055665054407037694,0.00028966606952588516,conv_0006,Hydrostatic,swe_hydrostatic,0.45
64,64_vs_restricted_128,128,4.317756369321882e-05,0.0015515960028909537,0.027177171951780738,0.0001455647286159568,conv_0006,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_128,128,0.00013199972442062862,0.004054108861357084,0.08111179457496556,0.00042965739183954926,conv_0006,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_64,64,2.7544951695450696e-05,0.0019696488091277553,0.06589787634013043,0.00014360993067364224,conv_0007,Hydrostatic,swe_hydrostatic,0.3
64,64_vs_restricted_128,128,1.5192174852489895e-05,0.0012588606451767181,0.03689315490922345,8.375837982093438e-05,conv_0007,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_128,128,4.2213853040267e-05,0.0031322223186485837,0.10002988824673854,0.00022386365213346247,conv_0007,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_64,64,2.7425056045624172e-05,0.0022039630749471906,0.06864013538053931,0.00015082710076765285,conv_0007,Hydrostatic,swe_hydrostatic,0.45
64,64_vs_restricted_128,128,1.3106329522319499e-05,0.0012318330156291801,0.03335044903589595,7.607715216907919e-05,conv_0007,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_128,128,4.012667417065497e-05,0.0033239869833441016,0.0994079735161491,0.00022351109946318104,conv_0007,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_64,64,3.104919875776741e-05,0.0021020480305866673,0.06009179848681464,0.0001555602448858054,conv_0008,Hydrostatic,swe_hydrostatic,0.3
64,64_vs_restricted_128,128,1.712062813292905e-05,0.001307359192017632,0.03334836816149005,8.955812604739763e-05,conv_0008,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_128,128,4.7554322023819176e-05,0.0033196681967727903,0.0911985165420049,0.0002418207105927353,conv_0008,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_64,64,3.109816591951328e-05,0.002300336919937973,0.06222764676620041,0.00016246864171342662,conv_0008,Hydrostatic,swe_hydrostatic,0.45
64,64_vs_restricted_128,128,1.4198322944077827e-05,0.0012263687841200244,0.029070414517989484,7.843042380899238e-05,conv_0008,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_128,128,4.487740791263433e-05,0.00342853269731469,0.0892500161906004,0.00023772571879283303,conv_0008,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_64,64,4.6536904102873746e-05,0.0019292008605332756,0.0482188963021574,0.00018847104511733674,conv_0009,Hydrostatic,swe_hydrostatic,0.3
64,64_vs_restricted_128,128,2.4956802269799025e-05,0.0011274446901282098,0.026320703464691814,0.00010586718128168774,conv_0009,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_128,128,7.086786736467935e-05,0.0030129867610687727,0.07308678521064917,0.0002910505593156216,conv_0009,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_64,64,4.620117297998315e-05,0.001977915903424554,0.04879968022418331,0.0001919783934694224,conv_0009,Hydrostatic,swe_hydrostatic,0.45
64,64_vs_restricted_128,128,2.1101149035451013e-05,0.0009836015633371553,0.02273687964508542,9.177005793529451e-05,conv_0009,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_128,128,6.676154529964621e-05,0.002910888434339523,0.07025493561234514,0.00028072806418537425,conv_0009,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_64,64,8.555281809703177e-05,0.0016770080563082157,0.03708913079409998,0.0002325381502924021,conv_0010,Hydrostatic,swe_hydrostatic,0.3
64,64_vs_restricted_128,128,4.4475281905689e-05,0.001073491952142236,0.01969824033582457,0.00012566485223870658,conv_0010,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_128,128,0.00012906341491385865,0.002636382615794755,0.05586836581825245,0.0003543031018487255,conv_0010,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_64,64,8.194470315438284e-05,0.0018707125550837533,0.03670540988830519,0.00023093409707945843,conv_0010,Hydrostatic,swe_hydrostatic,0.45
64,64_vs_restricted_128,128,3.916972306895736e-05,0.00105055527293757,0.01771185362418634,0.00011322549548154733,conv_0010,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_128,128,0.0001202890711007557,0.002800206073824557,0.05359969209412785,0.0003406017892809647,conv_0010,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_64,64,6.748764624144477e-05,0.0021955870679894463,0.050380901472012685,0.0002489146508963293,conv_0011,Hydrostatic,swe_hydrostatic,0.3
64,64_vs_restricted_128,128,3.5897934135399525e-05,0.0012799428211570651,0.02680293762484654,0.00013685546045717843,conv_0011,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_128,128,0.00010275022557759288,0.0034198297252567428,0.07572915325872308,0.00038233699730312354,conv_0011,Hydrostatic,swe_hydrostatic,0.3
32,32_vs_restricted_64,64,6.611188277795267e-05,0.0022929967311607347,0.05016098184268125,0.0002498216049285824,conv_0011,Hydrostatic,swe_hydrostatic,0.45
64,64_vs_restricted_128,128,2.9440874596766038e-05,0.0011274335807874292,0.02248627967181112,0.00011529035825890776,conv_0011,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_128,128,9.499730811293809e-05,0.0033653013459601228,0.07142025875791586,0.00036205957691409416,conv_0011,Hydrostatic,swe_hydrostatic,0.45
32,32_vs_restricted_64,64,3.8931936807537005e-05,0.0020819628145411495,0.054494651980144436,0.00017408626089793943,conv_0000,MUSCL-HR,swe_muscl_hr,0.3
64,64_vs_restricted_128,128,1.2491277120423342e-05,0.0015012575687795016,0.020994681818576305,6.911752078413985e-05,conv_0000,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_128,128,5.037636601953587e-05,0.0032297488326534923,0.07232287854167942,0.00023416314529985222,conv_0000,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_64,64,4.128826552207167e-05,0.0022549336435774836,0.05831936967949929,0.00018612931912764835,conv_0000,MUSCL-HR,swe_muscl_hr,0.45
64,64_vs_restricted_128,128,1.329996299217367e-05,0.0016213624165878904,0.02271198148932546,7.475399214959637e-05,conv_0000,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_128,128,5.3240684705908696e-05,0.003510422487022366,0.07745317455029262,0.00025071809814533445,conv_0000,MUSCL-HR,swe_muscl_hr,0.45
