dt_max,dt_min,end_time,final_time_target,grid,max_abs_eta,max_cfl_seen,max_speed_seen,min_h_seen,n_steps,ok,scenario_id,solver,solver_name,target_cfl
0.002566134733262042,0.0008677305334759185,0.006,0.006,32,0.023378317431153706,0.30000000000000404,0.03397112631834246,1.1903791420381173,3,True,conv_0000,Hydrostatic,swe_hydrostatic,0.3
0.00128252257552536,0.0008699096978985708,0.006,0.006,64,0.026863791603279452,0.3000000000000025,0.04070979054922447,1.188235637450982,5,True,conv_0000,Hydrostatic,swe_hydrostatic,0.3
0.0006412334843807121,0.0002288986405736002,0.006,0.006,128,0.02856058996319999,0.3000000000000007,0.0447652702531949,1.1879413561944052,10,True,conv_0000,Hydrostatic,swe_hydrostatic,0.3
0.0038492020998930634,0.0021507979001069368,0.006,0.006,32,0.02339109933479433,0.4500000000000008,0.03605080986574987,1.1903791420381173,2,True,conv_0000,Hydrostatic,swe_hydrostatic,0.45
0.00192378386328804,0.0002286484101358885,0.006,0.006,64,0.02711268164742009,0.450000000000004,0.04226343467991865,1.188235637450982,4,True,conv_0000,Hydrostatic,swe_hydrostatic,0.45
0.0009618502265710683,0.0002288986405735976,0.006,0.006,128,0.028769997945345516,0.45000000000000107,0.04546863949222872,1.1879413561944052,7,True,conv_0000,Hydrostatic,swe_hydrostatic,0.45
0.002593220539250656,0.0008135589214986879,0.006,0.006,32,0.027660098122601617,0.3,0.02469977429587443,1.2064110895005673,3,True,conv_0001,Hydrostatic,swe_hydrostatic,0.3
0.0012962708662515633,0.000814916534993747,0.006,0.006,64,0.03159765820350491,0.3,0.03184867283182095,1.2057145041767159,5,True,conv_0001,Hydrostatic,swe_hydrostatic,0.3
0.0006481140102714776,0.00016697390755670335,0.006,0.006,128,0.033258569367718094,0.3,0.03576369525208991,1.2053663101248369,10,True,conv_0001,Hydrostatic,swe_hydrostatic,0.3
0.0038898308088759844,0.0021101691911240158,0.006,0.006,32,0.02759880662557146,0.45,0.02653073941590845,1.2064110895005673,2,True,conv_0001,Hydrostatic,swe_hydrostatic,0.45
0.001944406299377345,0.00016678110186796498,0.006,0.006,64,0.03183339655601336,0.45000000000000007,0.033480196503980104,1.2057145041767159,4,True,conv_0001,Hydrostatic,swe_hydrostatic,0.45
0.0009721710154072164,0.00016697390755670248,0.006,0.006,128,0.033478854850095274,0.45000000000000007,0.036599290702445185,1.2053663101248369,7,True,conv_0001,Hydrostatic,swe_hydrostatic,0.45
0.0025401712497382313,0.0009210511146490984,0.006,0.006,32,0.02467820470770632,0.3001646793448167,0.016610353611229194,1.1919857421627176,3,True,conv_0002,Hydrostatic,swe_hydrostatic,0.3
0.0012684658692410573,0.0009282476627705954,0.006,0.006,64,0.026333035832398766,0.30008549573189164,0.02002501101376554,1.1916605599352943,5,True,conv_0002,Hydrostatic,swe_hydrostatic,0.3
0.0006340372658350346,0.00029735713796435765,0.006,0.006,128,0.027042824746215333,0.3000510296634771,0.02179788624086682,1.1916431298869423,10,True,conv_0002,Hydrostatic,swe_hydrostatic,0.3
0.003810256874607347,0.002189743125392653,0.006,0.006,32,0.024879626424516355,0.4503705669791247,0.017692623630308033,1.192015577004339,2,True,conv_0002,Hydrostatic,swe_hydrostatic,0.45
0.001902698803861586,0.00029429345137488815,0.006,0.006,64,0.02653017617346487,0.4501923704341721,0.02075874397279385,1.1916872195644388,4,True,conv_0002,Hydrostatic,swe_hydrostatic,0.45
0.000951055898752552,0.0002971499880140343,0.006,0.006,128,0.0271551002944459,0.45011481749657417,0.02215847601508496,1.1916577245360551,7,True,conv_0002,Hydrostatic,swe_hydrostatic,0.45
0.0025090365773592117,0.000983771411141525,0.006,0.006,32,0.017832516492854555,0.30022071295514924,0.009995798295691508,1.1822497384658726,3,True,conv_0003,Hydrostatic,swe_hydrostatic,0.3
0.0012539893187493594,0.0009872964196095697,0.006,0.006,64,0.019370028593668653,0.30014121081952655,0.01106928272187604,1.1811650578958575,5,True,conv_0003,Hydrostatic,swe_hydrostatic,0.3
0.0006269321920418351,0.00036294109585252934,0.006,0.006,128,0.019975970261960185,0.30007849652730834,0.011583244823417329,1.1806230297743847,10,True,conv_0003,Hydrostatic,swe_hydrostatic,0.3
0.003763554866038818,0.002236445133961182,0.006,0.006,32,0.017992947319634744,0.4504968181331508,0.010382405245295667,1.1822497384658726,2,True,conv_0003,Hydrostatic,swe_hydrostatic,0.45
0.0018809839781240391,0.0003608750663772909,0.006,0.006,64,0.019522219289643594,0.4503095958811925,0.011290148337620647,1.1811650578958575,4,True,conv_0003,Hydrostatic,swe_hydrostatic,0.45
0.0009403982880627526,0.00036274090780434413,0.006,0.006,128,0.02006524638373408,0.45017662177959566,0.01168765568229748,1.1806230297743847,7,True,conv_0003,Hydrostatic,swe_hydrostatic,0.45
0.0025292362545919745,0.0009415757363655276,0.006,0.006,32,0.02752968237473974,0.30001606387473156,0.023945373031764722,1.2073335707808588,3,True,conv_0004,Hydrostatic,swe_hydrostatic,0.3
0.0012635438766184783,0.0009459072219091388,0.006,0.006,64,0.02911187715548591,0.30000782772024115,0.02887689795869462,1.2039746745234217,5,True,conv_0004,Hydrostatic,swe_hydrostatic,0.3
